NAME,LATITUDE,LONGITUDE,PUNTO ZWF,PROPIETARIO,CONTRATO,SECTOR
ZWF BATEAS 1,4.313112,-72.103239,POINT (-72.103239 4.313112),ENTIDAD,BPIN 2023505690034,URBANO
ZWF BATEAS 2,4.311517,-72.106062,POINT (-72.106062 4.311517),ENTIDAD,BPIN 2023505690034,URBANO
ZWF BATEAS 3,4.308376,-72.109005,POINT (-72.109005 4.308376),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE 4,4.306533,-72.083021,POINT (-72.083021 4.306533),ENTIDAD,BPIN 2023505690034,URBANO
ZWF CORPOMECAVI 1,4.325379,-72.082322,POINT (-72.082322 4.325379),ENTIDAD,BPIN 2023505690034,URBANO
ZWF CORPOMECAVI 2,4.327833,-72.080566,POINT (-72.080566 4.327833),ENTIDAD,BPIN 2023505690034,URBANO
ZWF COL LUIS ANTONIO PER,4.316139,-72.085694,POINT (-72.085694 4.316139),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE VILLA AMALIA,4.321111,-72.084472,POINT (-72.084472 4.321111),ENTIDAD,BPIN 2023505690034,URBANO
ZWF VILLA DE LOS ALPES,4.317333,-72.085028,POINT (-72.085028 4.317333),ENTIDAD,BPIN 2023505690034,URBANO
ZWF COL JORGE ELIECER G,4.312083,-72.084861,POINT (-72.084861 4.312083),ENTIDAD,BPIN 2023505690034,URBANO
ZWF BIBLIOTECA,4.310833,-72.08075,POINT (-72.08075 4.310833),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE MANACACIAS,4.311694,-72.083278,POINT (-72.083278 4.311694),ENTIDAD,BPIN 2023505690034,URBANO
ZWF COL LUIS CARLOS GAL,4.318167,-72.082444,POINT (-72.082444 4.318167),ENTIDAD,BPIN 2023505690034,URBANO
ZWF GIMNASIO,4.309083,-72.079944,POINT (-72.079944 4.309083),ENTIDAD,BPIN 2023505690034,URBANO
ZWF COL CAMILO TORRES,4.310056,-72.079417,POINT (-72.079417 4.310056),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE CIMARRON,4.322306,-72.082,POINT (-72.082 4.322306),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE CENTRO,4.312528,-72.079444,POINT (-72.079444 4.312528),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE POPULAR,4.31625,-72.082917,POINT (-72.082917 4.31625),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE LA ESPERANZA,4.310222,-72.077917,POINT (-72.077917 4.310222),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE LAS PALMAS,4.314694,-72.084528,POINT (-72.084528 4.314694),ENTIDAD,BPIN 2023505690034,URBANO
ZWF MALECON,4.314306,-72.078556,POINT (-72.078556 4.314306),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE LA PERLA,4.32225,-72.084194,POINT (-72.084194 4.32225),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE MACARENA,4.31275,-72.078056,POINT (-72.078056 4.31275),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PARQUE CARIMAGUA,4.315306,-72.084528,POINT (-72.084528 4.315306),ENTIDAD,BPIN 2023505690034,URBANO
ZWF CORPOMECAVI 3,4.325865,-72.084076,POINT (-72.084076 4.325865),ENTIDAD,BPIN 2023505690034,URBANO
ZWF PRIMERA DE MAYO,4.324368,-72.083766,POINT (-72.083766 4.324368),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF TRAMPOLÍN,4.307114,-72.082259,POINT (-72.082259 4.307114),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF COLEGIO ANTONIO PÉREZ,4.316071,-72.085539,POINT (-72.085539 4.316071),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF ZONA WIFI ALCALDÍA (SOLAR ALCALDIA),4311453,-72.080347,POINT (-72.080347 4311453),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF MALECÓN 1,4.315085,-72.079121,POINT (-72.079121 4.315085),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF MALECÓN 2,4.3132,-72.077999,POINT (-72.077999 4.3132),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF MALECÓN 3,4.312195,-72.077186,POINT (-72.077186 4.312195),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF MALECÓN 4,4.311197,-72.077048,POINT (-72.077048 4.311197),EN ARRENDAMIENTO,CONTRATO 1190 2024,URBANO
ZWF SAN MIGUEL,4.509743,-71.862323,POINT (-71.862323 4.509743),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF SAN PEDRO,4.609391,-71.621779,POINT (-71.621779 4.609391),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF PUENTE ARIMENA,4.602708,-71.577032,POINT (-71.577032 4.602708),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF EL PORVENIR,4.734251,-71.401889,POINT (-71.401889 4.734251),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF WACOYO,4.349493,-71.971627,POINT (-71.971627 4.349493),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF LA CRISTALINA,4.26222,-71.636045,POINT (-71.636045 4.26222),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF PLANAS,4.179475,-71.343845,POINT (-71.343845 4.179475),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF MURUJUY,4.370732,-71.253137,POINT (-71.253137 4.370732),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF HORIZONTES,4.076026,-72.026654,POINT (-72.026654 4.076026),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF SAN RAFAEL DE PLANAS,4.1824,-71.326202,POINT (-71.326202 4.1824),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF INTERNADO RUBIALES,3.795582,-71.377798,POINT (-71.377798 3.795582),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF EL OASIS,3.772668,-71.654144,POINT (-71.654144 3.772668),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF SANTA HELENA,3.899737,-71.490655,POINT (-71.490655 3.899737),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF INTERNADO EL TIGRE,3.609728,-71.576312,POINT (-71.576312 3.609728),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF CARIMAGUA,4.573137,-71.338793,POINT (-71.338793 4.573137),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF TRUJILLO,3.485109,-71.373218,POINT (-71.373218 3.485109),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF ALTO TILLABA,3.561392,-71.753989,POINT (-71.753989 3.561392),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF SANTA BARBARA,4.509743,-71.862323,POINT (-71.862323 4.509743),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF AWALIBA,4.138758,-71.688467,POINT (-71.688467 4.138758),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF CUERNAVACA,3.750614,-71.83987,POINT (-71.83987 3.750614),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF LA CRISTALINA - COLEGIO,3.795582,-71.377798,POINT (-71.377798 3.795582),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF RUBIALES - PORVERNIR / POLIDEPORTIVO,3.795512,-71.37794,POINT (-71.37794 3.795512),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
ZWF POLIDEPORTIVO ALTO UNUMA (NUEVO),3.413139,-71.194872,POINT (-71.194872 3.413139),EN ARRENDAMIENTO,CONTRATO 1190 2024,RURAL
